file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,18,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,33
style.css,19,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,31
style.css,20,css,cec6f3e3,ivc003,2025-01-10,21:41:21,-08:00,2025-01-10T21:41:21-08:00,0,0
style.css,21,css,7d949af9,ivc003,2025-01-10,23:29:01,-08:00,2025-01-10T23:29:01-08:00,0,0
style.css,22,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,6
style.css,23,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,18
style.css,24,css,5225ced0,ivc003,2025-01-17,22:27:15,-08:00,2025-01-17T22:27:15-08:00,0,23
style.css,25,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,26,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,27,css,f4739da1,ivc003,2025-01-24,14:51:36,-08:00,2025-01-24T14:51:36-08:00,0,4
style.css,28,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,10
style.css,29,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,9
style.css,30,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,13
style.css,31,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,16
style.css,32,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,18
style.css,33,css,5225ced0,ivc003,2025-01-17,22:27:15,-08:00,2025-01-17T22:27:15-08:00,0,22
style.css,34,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,35,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,36,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,37,css,f4739da1,ivc003,2025-01-24,14:51:36,-08:00,2025-01-24T14:51:36-08:00,0,8
style.css,38,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,21
style.css,39,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,13
style.css,40,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,18
style.css,41,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,9
style.css,42,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,43,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,44,css,f4739da1,ivc003,2025-01-24,14:51:36,-08:00,2025-01-24T14:51:36-08:00,0,14
style.css,45,css,510b84e7,ivc003,2025-01-24,22:27:36,-08:00,2025-01-24T22:27:36-08:00,0,70
style.css,46,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,46
style.css,47,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,21
style.css,48,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,49,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,50,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,9
style.css,51,css,510b84e7,ivc003,2025-01-24,22:27:36,-08:00,2025-01-24T22:27:36-08:00,0,46
style.css,52,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,21
style.css,53,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,54,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,0
style.css,55,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,4
style.css,56,css,510b84e7,ivc003,2025-01-24,22:27:36,-08:00,2025-01-24T22:27:36-08:00,0,40
style.css,57,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,13
style.css,58,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,24
style.css,59,css,f9703adc,ivc003,2025-01-17,22:15:40,-08:00,2025-01-17T22:15:40-08:00,0,26
style.css,60,css,510b84e7,ivc003,2025-01-24,22:27:36,-08:00,2025-01-24T22:27:36-08:00,0,40
